"Country	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	ActiveCases	SeriousCritical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	CASES per Test	Death in Closed Cases	Rank by Testing rate	Rank by Death rate	Rank by Cases rate	Rank by Death of Closed Cases	TOP_DEATH	TOP_TEST"
"Zimbabwe	5745.00	102	151	1	4525.00	1069.00		386	10	149748.00	10056.00	14892083	3.23%	150	134	157	95"
"Djibouti	5374.00		59		5216.00	99		5429.00	60	63471.00	64116.00	989936	1.12%	73	72	48	166"
"Malawi	5282.00	42	165	1	2883.00	2234.00	4	275	9	41026.00	2137.00	19193810	5.41%	181	137	168	54"
"Hungary	5046.00	44	609		3678.00	759	7	523	63	390079.00	40394.00	9656850	14.21%	102	70	148	13"
"Namibia	4912.00	247	41	2	2442.00	2429.00	18	1929.00	16	45744.00	17960.00	2547027	1.65%	131	122	92	150"
"Equatorial Guinea	4892.00		83		2713.00	2096.00		3473.00	59	49215.00	34935.00	1408774	2.97%	109	74	72	105"
"CAR	4679.00		61		1755.00	2863.00	2	967	13	30775.00	6357.00	4840968	3.36%	166	130	121	91"
"Hong Kong	4605.00	18	73	1	3827.00	705	31	614	10	780415.00	103981.00	7505365	1.87%	52	134	140	143"
"Nicaragua	4311.00		133		2913.00	1265.00		650	20			6635277	4.37%		112	139	74"
"Montenegro	4229.00	55	81	1	3186.00	962		6733.00	129	44219.00	70404.00	628077	2.48%	68	44	36	122"
"Eswatini	4110.00	52	81	2	2643.00	1386.00	11	3538.00	70	28380.00	24427.00	1161807	2.97%	122	64	68	104"
"Congo	3850.00		77		1625.00	2148.00		695	14			5535717	4.52%		128	136	67"
"Cuba	3565.00	83	88		2894.00	583	3	315	8	346439.00	30589.00	11325635	2.95%	115	141	164	106"
"Thailand	3389.00	7	58		3218.00	113	1	49	0.8	749213.00	10730.00	69824575	1.77%	147	180	201	146"
"Cabo Verde	3368.00	47	37	1	2462.00	869		6049.00	66	73900.00	132720.00	556812	1.48%	36	67	42	157"
"Suriname	3366.00	71	55	1	2383.00	928	20	5731.00	94	5889.00	10026.00	587354	2.26%	151	56	45	131"
"Somalia	3265.00		93		2396.00	776		205	6			15950038	3.74%		148	180	85"
"Mayotte	3160.00		39		2964.00	157	1	11547.00	143	13000.00	47502.00	273671	1.30%	89	41	18	162"
"Mozambique	3115.00	70	20	1	1380.00	1715.00		99	0.6	82264.00	2623.00	31367587	1.43%	178	182	191	158"
"Slovakia	3102.00	80	33		2014.00	1055.00	8	568	6	304021.00	55681.00	5460016	1.61%	83	148	142	151"
"Sri Lanka	2918.00	16	11		2765.00	142	1	136	0.5	195025.00	9102.00	21425788	0.40%	154	183	187	189"
"Rwanda	2717.00	73	11	1	1705.00	1001.00		209	0.8	351383.00	27042.00	12993865	0.64%	118	180	179	182"
"Mali	2667.00		125		1993.00	549		131	6	32716.00	1610.00	20325303	5.90%	187	148	188	45"
"Tunisia	2543.00	116	63	3	1397.00	1083.00	8	215	5	119193.00	10071.00	11835528	4.32%	149	155	177	78"
"Slovenia	2536.00	43	129		2079.00	328	3	1220.00	62	147091.00	70752.00	2078978	5.84%	66	71	112	46"
"Lithuania	2528.00	32	82	1	1747.00	699	6	931	30	594478.00	218825.00	2716679	4.48%	20	98	125	70"
"South Sudan	2494.00		47		1290.00	1157.00		222	4	12044.00	1074.00	11211590	3.52%	191	162	175	87"
"Gambia	2401.00	113	81	4	435	1885.00		990	33	10781.00	4445.00	2425361	15.70%	174	94	119	10"
"Estonia	2227.00	20	63		2009.00	155		1679.00	47	138166.00	104146.00	1326661	3.04%	51	83	96	100"
"Guinea-Bissau	2149.00	32	33		1015.00	1101.00	5	1089.00	17	1500.00	760	1974061	3.15%	192	118	116	97"
"Benin	2095.00		39		1705.00	351		172	3	107057.00	8801.00	12164164	2.24%	155	169	183	132"
"Angola	2044.00	29	93	1	742	1209.00	24	62	3	64747.00	1962.00	32995591	11.14%	182	169	197	20"
"Iceland	2040.00	5	10		1913.00	117	1	5973.00	29	191690.00	561236.00	341550	0.52%	10	99	43	186"
"Syria	2008.00	81	82	4	460	1466.00		114	5			17555909	15.13%		155	189	11"
"Sierra Leone	1969.00	8	69		1536.00	364		246	9			7998386	4.30%		137	173	79"
"Yemen	1899.00	7	541	2	1058.00	300		63	18	120	4	29912082	33.83%	195	114	196	7"
"Uganda	1750.00	94	19	3	1194.00	537		38	0.4	336713.00	7332.00	45923374	1.57%	162	184	204	153"
"New Zealand	1654.00	5	22		1531.00	101	6	331	4	657506.00	131446.00	5002100	1.42%	38	162	160	159"
"Bahamas	1610.00	79	23	1	211	1376.00	61	4089.00	58	8449.00	21457.00	393759	9.83%	128	75	58	24"
"Malta	1510.00	40	9		802	699		3419.00	20	166348.00	376602.00	441708	1.11%	13	112	75	168"
"Uruguay	1506.00	13	41	1	1242.00	223	3	433	12	154431.00	44435.00	3475415	3.20%	95	132	155	96"
"Jordan	1498.00	16	11		1261.00	226	3	147	1	720972.00	70566.00	10217009	0.86%	67	177	184	172"
"Cyprus	1395.00	10	20		878	497	5	1154.00	17	263943.00	218392.00	1208574	2.23%	21	118	113	133"
"Aruba	1387.00	91	6	1	277	1104.00	2	12983.00	56	17669.00	165395.00	106829	2.12%	30	76	15	138"
"Georgia	1370.00	9	17		1108.00	245		344	4	315142.00	79021.00	3988076	1.51%	61	162	159	155"
"Latvia	1327.00	1	33		1093.00	201		705	18	232918.00	123686.00	1883144	2.93%	41	114	133	107"
"Botswana	1308.00		3		136	1169.00	1	555	1	93420.00	39620.00	2357895	2.16%	103	177	144	136"
"Burkina Faso	1297.00	12	55		1034.00	208		62	3			20976858	5.05%		169	197	58"
"Liberia	1284.00	2	82		803	399		253	16			5073177	9.27%		122	170	26"
"Togo	1212.00	22	27		878	307	2	146	3	55741.00	6713.00	8304024	2.98%	164	169	185	102"
"Jamaica	1192.00	46	14		772	406	1	402	5	49215.00	16610.00	2962971	1.78%	135	155	156	144"
"Niger	1169.00	2	69		1082.00	18		48	3	9052.00	372	24315155	5.99%	193	169	202	43"
"Andorra	1024.00		53		875	96	1	13250.00	686	137457.00	1778642.00	77282	5.71%	1	4	14	49"
"Vietnam	1007.00	13	25		542	440		10	0.3	817208.00	8385.00	97458937	4.41%	157	187	211	71"
"Lesotho	996	50	30		423	543		464	14	12033.00	5611.00	2144591	6.62%	169	128	153	39"
"Réunio	996	51	5		657	334	3	1111.00	6	35419.00	39521.00	896196	0.76%	104	148	115	176"
"Chad	972	1	76		869	27		59	5			16486068	8.04%		155	199	30"
"Sao Tome and Principe	888	3	15		829	44		4042.00	68	3432.00	15621.00	219700	1.78%	137	66	59	145"
"Guyana	846	70	29	2	399	418	8	1075.00	37	6502.00	8261.00	787081	6.78%	158	89	117	37"
"Trinidad and Tobago	767	81	12		140	615	3	548	9	18036.00	12882.00	1400123	7.89%	143	137	145	31"
"Diamond Princess	712		13		651	48	4						1.96%				142"
"San Marino	704		42		657	5		20742.00	1237.00	6511.00	191833.00	33941	6.01%	24	1	4	42"
"Channel Islands	613		48		545	20		3521.00	276	68985.00	396276.00	174083	8.09%	12	23	69	29"
"Belize	605	52	5	1	38	562	3	1518.00	13	5592.00	14030.00	398588	11.63%	140	130	102	17"
"Guadeloupe	510		15		289	206	2	1275.00	37	23585.00	58943.00	400134	4.93%	81	89	111	60"
"Tanzania	509		21		183	305	7	8	0.4			59951725	10.29%		184	212	23"
"Taiwan	486		7		457	22		20	0.3	85563.00	3592.00	23822843	1.51%	176	187	207	156"
"Burundi	422		1		336	85		35	0.08	19993.00	1675.00	11935821	0.30%	186	190	205	190"
"Comoros	417	11	7		396	14		478	8			872036	1.74%		141	152	149"
"Myanmar	399	5	6		333	60		7	0.1	141044.00	2590.00	54460318	1.77%	179	189	213	147"
"Faeroe Islands	383	1			274	109	3	7834.00		80312.00	1642742.00	48889		2		31	"
"Papua New Guinea	361	14	4	1	198	159		40	0.4	14439.00	1610.00	8969502	1.98%	187	184	203	141"
"Sint Maarten	348	15	17		133	198	3	8104.00	396	1983.00	46179.00	42942	11.33%	92	15	29	18"
"Mauritius	346		10		334	2		272	8	205285.00	161379.00	1272065	2.91%	32	141	169	109"
"Isle of Man	336		24		312	0		3948.00	282	9423.00	110734.00	85096	7.14%	47	21	60	35"
"Martinique	336		16		98	222	2	895	43	12227.00	32586.00	375224	14.04%	112	85	127	15"
"Turks and Caicos	327	12	2		56	269	3	8430.00	52	1940.00	50015.00	38788	3.45%	88	77	27	89"
"Eritrea	306	2			274	32		86				3553053				193	"
"Mongolia	298				281	17	1	91		46332.00	14103.00	3285365		139		192	"
"Cambodia	273				253	20	1	16		83626.00	4993.00	16750228		172		210	"
"Gibraltar	229	6			200	29		6797.00		28366.00	841971.00	33690		5		35	"
"French Polynesia	211				68	143	2	751		9912.00	35257.00	281134		106		131	"
"Cayman Islands	205		1		202	2		3114.00	15	33978.00	516171.00	65827	0.49%	11	125	78	187"
"Bermuda	166		9		147	10		2667.00	145	36203.00	581621.00	62245	5.77%	9	39	85	48"
"Barbados	156	1	7		123	26		543	24	15028.00	52285.00	287425	5.38%	85	104	146	55"
"Monaco	150	2	4		115	31	1	3819.00	102	51953.00	1322632.00	39280	3.36%	3	53	62	90"
"Bhutan	150	3			105	45		194		66835.00	86488.00	772767		57		182	"
"Brunei	143		3		139	1		326	7	49399.00	112769.00	438054	2.11%	46	146	161	139"
"Seychelles	132				126	6		1341.00				98431				107	"
